Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
19/04/2019,,,1,45,,,1,2,,,,11,,31,
20/04/2019,1,,,5,2,,5,,,,,,,1,1
20/04/2019,,1,,25,,8,9,,,,,1,,6,1
20/04/2019,,,1,7,1,1,,,,,,3,,4,
21/04/2019,,,,,,,,,,,,,,,
22/04/2019,,,,,,,,,,,,,,,
22/04/2019,,,,,,,,,,,,,,,
23/04/2019,,1,,15,4,3,9,2,,,,,,,6
23/04/2019,,,1,28,3,,2,,2,1,4,3,,17,2
24/04/2019,,1,,23,3,10,8,,2,,,4,,2,
24/04/2019,,,1,24,1,,,,,1,1,20,,3,
25/04/2019,,1,,17,7,2,13,1,3,1,,8,,,
25/04/2019,,,1,29,1,2,5,,3,,,6,,14,
26/04/2019,,1,,16,2,,8,,2,,,,,8,
26/04/2019,,,1,52,2,1,2,,,1,,38,,12,
27/04/2019,,,,,,,,,,,,,,,
27/04/2019,,,,,,,,,,,,,,,
27/04/2019,,,,,,,,,,,,,,,
28/04/2019,,,,,,,,,,,,,,,
29/04/2019,,1,,29,7,7,3,2,3,,,6,,13,3
29/04/2019,,,1,38,2,1,5,,,,,23,1,11,
30/04/2019,,1,,20,7,3,17,,,,,,,,
30/04/2019,,,1,14,1,1,,,,,5,,,8,1
01/05/2019,,,,,,,,,,,,,,,
01/05/2019,,,,,,,,,,,,,,,
02/05/2019,,1,,18,8,2,,1,1,,,13,,2,4
02/05/2019,,,1,31,1,,1,,,,,18,,9,4
03/05/2019,,1,,29,4,5,3,,,,2,11,,10,2
03/05/2019,,,1,57,,,,,,,2,3,,51,
04/05/2019,1,,,38,2,9,3,,,,2,3,,21,1
04/05/2019,,1,,12,1,7,1,1,,,,2,,2,
04/05/2019,,,1,14,,,4,,2,,2,,,6,
05/05/2019,,,,,,,,,,,,,,,
06/05/2019,,1,,25,6,4,6,,1,,,5,,11,2
06/05/2019,,,1,30,,2,2,,,,5,12,5,4,
07/05/2019,,1,,11,6,2,9,,,,,6,,,
07/05/2019,,,1,38,2,,2,4,2,,1,,1,29,1
08/05/2019,,1,,36,1,,5,,,,,9,,24,
08/05/2019,,,1,18,2,,,1,3,,,3,,9,2
09/05/2019,,1,,12,12,,7,1,5,2,,,,3,3
09/05/2019,,,1,12,1,,,,,,,3,,11,1
10/05/2019,,1,,16,3,5,4,,,,,4,2,4,
10/05/2019,,,1,42,,1,3,,,,,24,,14,
11/05/2019,1,,,80,2,,,,,,,,,82,
11/05/2019,,1,,8,1,,3,,,,,1,1,4,
11/05/2019,,,1,16,4,6,9,,2,1,1,,,1,
12/05/2019,,,,,,,,,,,,,,,
13/05/2019,,1,,33,7,3,7,4,,,1,7,2,9,3
13/05/2019,,,1,40,3,,4,,,,1,25,,11,
14/05/2019,,1,,7,7,,7,,,,,,,6,2
14/05/2019,,,1,17,1,,,,,,4,,,14,
15/05/2019,,1,,17,3,9,,,1,,,,,10,
15/05/2019,,,1,19,,14,,,,,3,,,3,
16/05/2019,,1,,20,4,2,2,,1,,,18,,,1
16/05/2019,,,1,36,1,1,7,,1,,,19,,5,4
17/05/2019,,1,,13,3,,,,,,,,10,6,
17/05/2019,,,1,84,,1,3,,2,,20,17,,41,
18/05/2019,1,,,14,6,,1,,,,,,2,15,2
18/05/2019,,1,,14,2,7,2,,,,1,2,,4,
18/05/2019,,,1,12,3,4,3,,,3,3,1,,1,
19/05/2019,,,,,,,,,,,,,,,
